Recall	Precision: exact match	F1: exact match	F0.5 exact match	Precision: exact or hpoNarrower	F1: exact or hpoNarrower	F0.5: exact or hpoNarrower	Precision: all	F1: all	F0.5: all	String/substring: HPO ↔ Phecode	String/substring: HPO ↔ ICD	SORTA: Phecode → HPO	SORTA: Phecode → ICD	UMLS: HPO ↔ ICD	WikiMedMap: HPO → ICD
0.6835714285714286	0.06810035842293907	0.12386113220913957	0.08305682744205253	0.48745519713261654	0.5690911515665616	0.5171279358429514	0.5878136200716846	0.6320863949674086	0.6047570460199196	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes + children	Yes + children
0.7028571428571428	0.07357859531772576	0.13321190341398578	0.08962757853177707	0.49498327759197325	0.5808829395152927	0.5261028391750671	0.5886287625418061	0.6406913594862157	0.6084043438181533	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes + children	Yes + children
0.6826190476190476	0.06810035842293907	0.12384547791104397	0.08305401156075004	0.48745519713261654	0.5687608353335624	0.517018796151027	0.5878136200716846	0.631678929100896	0.6046077895839184	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes + children	Yes + children
0.6892857142857143	0.07394366197183098	0.13355961246951822	0.09001545787285455	0.49295774647887325	0.5748202357145896	0.5227357147279142	0.5915492957746479	0.6366885284530496	0.6088145166135912	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes + children	Yes + children
0.6816666666666666	0.06810035842293907	0.12382978384364719	0.08305118800283855	0.48745519713261654	0.5684299809412858	0.5169093977444225	0.5878136200716846	0.631270851861786	0.6044581900498157	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes + children	Yes + children
0.6892857142857143	0.07042253521126761	0.12778918095742567	0.08583576460542235	0.4894366197183099	0.5724192378269962	0.5195647795234111	0.5880281690140845	0.6346434056629779	0.6058276442813749	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes + children
0.7033333333333334	0.07333333333333333	0.13281831187410587	0.0893379522709777	0.4966666666666667	0.5822037037037037	0.5276770728432361	0.5900000000000001	0.6417010309278351	0.609647404505387	Yes + children	Yes + children	Yes + children	Yes + children	Yes + children	Yes + children
0.6883333333333334	0.07042253521126761	0.12777279336695233	0.08583280683669738	0.4894366197183099	0.5720905666394276	0.5194564288920097	0.5880281690140845	0.6342394203005167	0.6056803332818143	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes + children	Yes + children
0.6928571428571428	0.07291666666666667	0.13194714341235914	0.08880924976457048	0.4930555555555556	0.5761251463945123	0.5232328450738467	0.5902777777777778	0.6374671408690273	0.608289559109957	Yes + children	Yes + children	Yes + children	Yes	Yes + children	Yes + children
0.6873809523809524	0.07042253521126761	0.12775636458577644	0.08582984107655059	0.4894366197183099	0.5717613634744547	0.5193478233860465	0.5880281690140845	0.6338348316054343	0.6055326859969977	Yes + children	Yes + children	Yes + children		Yes + children	Yes + children
0.6833333333333333	0.06810035842293907	0.12385722235471819	0.08305612418969634	0.48745519713261654	0.569008622888923	0.5171006751242674	0.5878136200716846	0.6319845857418112	0.6047197640117994	Yes + children	Yes + children	Yes (Strict threshold)	Yes (Strict threshold) + children	Yes + children	Yes + children
0.7026190476190476	0.07357859531772576	0.13320762575801565	0.08962680393926108	0.49498327759197325	0.5808016096290499	0.5260761513622273	0.5886287625418061	0.6405924211972626	0.6083686532995861	Yes + children	Yes + children	Yes (Strict threshold)	Yes + children	Yes + children	Yes + children
0.6821428571428572	0.06810035842293907	0.12383763585797404	0.08305260074333107	0.48745519713261654	0.5685954754894987	0.5169641293445207	0.5878136200716846	0.6314749669888821	0.6045330327780265	Yes + children	Yes + children	Yes (Strict threshold)	Yes (Strict threshold)	Yes + children	Yes + children
0.6888095238095238	0.07394366197183098	0.1335506676104514	0.09001383255379525	0.49295774647887325	0.5746545858009153	0.5226809083513316	0.5915492957746479	0.6364853078681937	0.6087401754688321	Yes + children	Yes + children	Yes (Strict threshold)	Yes	Yes + children	Yes + children
0.6811904761904762	0.06810035842293907	0.1238219218490716	0.0830497733353378	0.48745519713261654	0.5682643515242596	0.5168546012354692	0.5878136200716846	0.6310665835473522	0.6043832612510678	Yes + children	Yes + children	Yes (Strict threshold)		Yes + children	Yes + children
0.685952380952381	0.07142857142857142	0.12938429065433152	0.08702034602745021	0.4892857142857143	0.5711637531836073	0.5190485834218804	0.5892857142857143	0.6339552437853408	0.6063762207504617	Yes + children	Yes + children	Yes	Yes (Strict threshold) + children	Yes + children	Yes + children
0.7030952380952381	0.07357859531772576	0.1332161784472603	0.0896283526130543	0.49498327759197325	0.5809642370760103	0.5261295116179852	0.5886287625418061	0.6407902613018427	0.6084400143479682	Yes + children	Yes + children	Yes	Yes + children	Yes + children	Yes + children
0.6847619047619048	0.07142857142857142	0.12936308024469234	0.08701650772135351	0.4892857142857143	0.5707506446099023	0.5189120563041945	0.5892857142857143	0.6334463518167499	0.6061898970905338	Yes + children	Yes + children	Yes	Yes (Strict threshold)	Yes + children	Yes + children
0.6892857142857143	0.07394366197183098	0.13355961246951822	0.09001545787285455	0.49295774647887325	0.5748202357145896	0.5227357147279142	0.5915492957746479	0.6366885284530496	0.6088145166135912	Yes + children	Yes + children	Yes	Yes	Yes + children	Yes + children
0.6838095238095238	0.07142857142857142	0.12934606377229327	0.08701342769887051	0.4892857142857143	0.570419554060715	0.5188025442769592	0.5892857142857143	0.6330385529936681	0.6060404538525287	Yes + children	Yes + children	Yes		Yes + children	Yes + children
0.6833333333333333	0.06810035842293907	0.12385722235471819	0.08305612418969634	0.48745519713261654	0.569008622888923	0.5171006751242674	0.5878136200716846	0.6319845857418112	0.6047197640117994	Yes + children	Yes + children		Yes (Strict threshold) + children	Yes + children	Yes + children
0.7026190476190476	0.07357859531772576	0.13320762575801565	0.08962680393926108	0.49498327759197325	0.5808016096290499	0.5260761513622273	0.5886287625418061	0.6405924211972626	0.6083686532995861	Yes + children	Yes + children		Yes + children	Yes + children	Yes + children
0.6821428571428572	0.06810035842293907	0.12383763585797404	0.08305260074333107	0.48745519713261654	0.5685954754894987	0.5169641293445207	0.5878136200716846	0.6314749669888821	0.6045330327780265	Yes + children	Yes + children		Yes (Strict threshold)	Yes + children	Yes + children
0.6888095238095238	0.07394366197183098	0.1335506676104514	0.09001383255379525	0.49295774647887325	0.5746545858009153	0.5226809083513316	0.5915492957746479	0.6364853078681937	0.6087401754688321	Yes + children	Yes + children		Yes	Yes + children	Yes + children
0.6807142857142857	0.06810035842293907	0.12381404985520725	0.08304835673688343	0.48745519713261654	0.5680985870734866	0.5167997397021249	0.5878136200716846	0.6308621618730663	0.604308246233223	Yes + children	Yes + children			Yes + children	Yes + children
0.6292857142857143	0.0743801652892562	0.13303579667955806	0.09030669424424378	0.47933884297520657	0.5441717562739283	0.5033254269075893	0.5909090909090908	0.6094939066574423	0.5982053317733578	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes + children	Yes
0.6542857142857142	0.07954545454545454	0.14184585434917263	0.09649883214139517	0.4848484848484848	0.5569658736794102	0.5113319191693647	0.587121212121212	0.618886544731749	0.5994278457412673	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes + children	Yes
0.6283333333333333	0.07468879668049792	0.13350777614920764	0.09066665241510523	0.47717842323651455	0.5424222899216175	0.5012973257975895	0.5892116182572614	0.6081439533787353	0.5966413152990897	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes + children	Yes
0.635	0.08130081300813008	0.14414618920606095	0.09847404007195584	0.483739837398374	0.5491442898150504	0.5079385351688536	0.5934959349593496	0.613546871380828	0.601356961237092	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes + children	Yes
0.6273809523809524	0.07468879668049792	0.13348624821462496	0.09066268054164404	0.47717842323651455	0.5420671088114415	0.5011759296625363	0.5892116182572614	0.6076975236208163	0.596469357954944	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes + children	Yes
0.6426190476190476	0.07692307692307693	0.13739913966452008	0.09335999114481003	0.4817813765182186	0.5506968561956632	0.5071686817760923	0.5910931174089069	0.6157800934951124	0.6007265050557776	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes
0.66	0.07924528301886792	0.14150076569678408	0.09616985845129057	0.4867924528301887	0.5603158933859822	0.5137581462708183	0.5886792452830188	0.6223028105167724	0.6016830294530154	Yes + children	Yes + children	Yes + children	Yes + children	Yes + children	Yes
0.6416666666666667	0.07723577235772358	0.13787578927528035	0.09372437474374745	0.47967479674796754	0.5489698507643043	0.5051819233164309	0.5894308943089431	0.6144405921523307	0.5991864159368024	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes + children	Yes
0.6461904761904762	0.08	0.1423737704918033	0.09699785561115082	0.48400000000000004	0.5534574871492375	0.5095804108993857	0.5920000000000001	0.6179093915852627	0.6020985729703803	Yes + children	Yes + children	Yes + children	Yes	Yes + children	Yes
0.6407142857142857	0.07723577235772358	0.13785377453874836	0.09372030513127333	0.47967479674796754	0.5486210095837372	0.50506371153068	0.5894308943089431	0.6140036160901851	0.5990201243865415	Yes + children	Yes + children	Yes + children		Yes + children	Yes
0.6271428571428571	0.0743801652892562	0.13298776485635908	0.09029783888543533	0.47933884297520657	0.5433690073517644	0.5030504670533752	0.5909090909090908	0.6084870455272416	0.5978169781278806	Yes + children	Yes + children	Yes (Strict threshold)	Yes (Strict threshold) + children	Yes + children	Yes
0.6521428571428571	0.07954545454545454	0.14179534966276178	0.09648947991400342	0.4848484848484848	0.5561880104323325	0.5110694393909708	0.587121212121212	0.6179262584273588	0.5990671629154503	Yes + children	Yes + children	Yes (Strict threshold)	Yes + children	Yes + children	Yes
0.6259523809523809	0.07468879668049792	0.13345384657686457	0.09065670072598925	0.47717842323651455	0.5415331872336195	0.5009932536962824	0.5892116182572614	0.6070265669042568	0.596210627720589	Yes + children	Yes + children	Yes (Strict threshold)	Yes (Strict threshold)	Yes + children	Yes
0.6326190476190476	0.08130081300813008	0.14408463955793074	0.09846254643341013	0.483739837398374	0.5482520707945575	0.50763288430614	0.5934959349593496	0.6124333173879203	0.6009285903718079	Yes + children	Yes + children	Yes (Strict threshold)	Yes	Yes + children	Yes
0.625	0.07468879668049792	0.1334321719792439	0.09065269943593876	0.47717842323651455	0.5411764705882353	0.5008710801393729	0.5892116182572614	0.606578385305425	0.5960376091336468	Yes + children	Yes + children	Yes (Strict threshold)		Yes + children	Yes
0.6297619047619047	0.07818930041152264	0.13910744808209982	0.09479428386035596	0.4814814814814815	0.5457286830932826	0.5052753776523835	0.5925925925925926	0.6106121271146701	0.5996712577226094	Yes + children	Yes + children	Yes	Yes (Strict threshold) + children	Yes + children	Yes
0.6526190476190477	0.07954545454545454	0.1418065984745462	0.09649156333732972	0.4848484848484848	0.5563611222114391	0.5111278938584468	0.587121212121212	0.6181399422678492	0.5991474817627773	Yes + children	Yes + children	Yes	Yes + children	Yes + children	Yes
0.6285714285714286	0.07851239669421488	0.13958924695274672	0.0951687081644734	0.4793388429752066	0.5439045183290707	0.5032339485723301	0.5909090909090909	0.6091586794462195	0.5980761187787537	Yes + children	Yes + children	Yes	Yes (Strict threshold)	Yes + children	Yes
0.633095238095238	0.08130081300813008	0.14409698230896584	0.09846485186205588	0.483739837398374	0.5484308189345133	0.507694168900116	0.5934959349593496	0.6126563740320079	0.6010144733680616	Yes + children	Yes + children	Yes	Yes	Yes + children	Yes
0.6276190476190476	0.07851239669421488	0.13956573110105447	0.0951643353773284	0.4793388429752066	0.5435476645880588	0.5031117054883956	0.5909090909090909	0.6087110984794657	0.5979034644482287	Yes + children	Yes + children	Yes		Yes + children	Yes
0.6271428571428571	0.0743801652892562	0.13298776485635908	0.09029783888543533	0.47933884297520657	0.5433690073517644	0.5030504670533752	0.5909090909090908	0.6084870455272416	0.5978169781278806	Yes + children	Yes + children		Yes (Strict threshold) + children	Yes + children	Yes
0.6521428571428571	0.07954545454545454	0.14179534966276178	0.09648947991400342	0.4848484848484848	0.5561880104323325	0.5110694393909708	0.587121212121212	0.6179262584273588	0.5990671629154503	Yes + children	Yes + children		Yes + children	Yes + children	Yes
0.6259523809523809	0.07468879668049792	0.13345384657686457	0.09065670072598925	0.47717842323651455	0.5415331872336195	0.5009932536962824	0.5892116182572614	0.6070265669042568	0.596210627720589	Yes + children	Yes + children		Yes (Strict threshold)	Yes + children	Yes
0.6326190476190476	0.08130081300813008	0.14408463955793074	0.09846254643341013	0.483739837398374	0.5482520707945575	0.50763288430614	0.5934959349593496	0.6124333173879203	0.6009285903718079	Yes + children	Yes + children		Yes	Yes + children	Yes
0.6245238095238095	0.07468879668049792	0.133421312538591	0.09065069434737796	0.47717842323651455	0.5409978809892543	0.5008098760381621	0.5892116182572614	0.6063540307502465	0.5959509397204199	Yes + children	Yes + children			Yes + children	Yes
0.5885714285714285	0.07692307692307693	0.13606340819022458	0.09311155306454529	0.47863247863247865	0.5279392247494393	0.4972070891662644	0.5854700854700855	0.5870166607733427	0.5860877366405556	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes + children	
0.615	0.08203125	0.14475453934095495	0.09923013092384289	0.484375	0.5419272313814668	0.5058639354701762	0.58203125	0.598061610755776	0.5883391545533926	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes + children	
0.5876190476190476	0.07725321888412018	0.13655393732978405	0.09349366270220763	0.47639484978540775	0.5261936683428668	0.49513876638605886	0.5836909871244635	0.5856484308751017	0.5844723923303672	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes + children	
0.5957142857142858	0.08403361344537816	0.14728997050668458	0.10146380394370585	0.48319327731092443	0.5335862828658219	0.5021634232770104	0.5882352941176471	0.5919511675775427	0.5897160312252517	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes + children	
0.5861904761904762	0.07725321888412018	0.13651528080265418	0.09348641286921185	0.47639484978540775	0.5256201399053321	0.49493549658357916	0.5836909871244635	0.5849380615384078	0.5841891782493028	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes + children	
0.6035714285714285	0.0794979079497908	0.14049134781562425	0.09620454926775483	0.4811715481171548	0.535465829097271	0.5015121487995707	0.5857740585774058	0.5945395836212636	0.589249068558108	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	
0.6214285714285714	0.08171206225680934	0.14443258626823194	0.09888932190179266	0.48638132295719844	0.545673499084272	0.5084817086855689	0.5836575875486382	0.6019511520099633	0.5908399434966859	Yes + children	Yes + children	Yes + children	Yes + children	Yes + children	
0.6026190476190476	0.07983193277310924	0.14098666330488524	0.09659094561067474	0.4789915966386555	0.5337400502044992	0.4994855126454482	0.5840336134453782	0.5931807873691807	0.5876584198372906	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes + children	
0.6076190476190476	0.08264462809917356	0.14549932723665304	0.0999085476617015	0.4834710743801653	0.5384820700749515	0.5040692350702426	0.5867768595041323	0.5970161056488389	0.5908301203624962	Yes + children	Yes + children	Yes + children	Yes	Yes + children	
0.6011904761904762	0.07983193277310924	0.14094748439221444	0.09658358833950714	0.4789915966386555	0.5331789766149572	0.49928883646707833	0.5840336134453782	0.5924878666385314	0.5873861962779489	Yes + children	Yes + children	Yes + children		Yes + children	
0.5864285714285714	0.07692307692307693	0.13600596372069906	0.09310078925882247	0.47863247863247865	0.5270754397931868	0.4969003173175856	0.5854700854700855	0.5859489364805659	0.5856615319248201	Yes + children	Yes + children	Yes (Strict threshold)	Yes (Strict threshold) + children	Yes + children	
0.6128571428571429	0.08203125	0.14469499855449552	0.09921893584965508	0.484375	0.5410936609976401	0.5055731273379763	0.58203125	0.5970465711456913	0.5879458274159486	Yes + children	Yes + children	Yes (Strict threshold)	Yes + children	Yes + children	
0.5852380952380952	0.07725321888412018	0.13648941716513913	0.09348156061215591	0.47639484978540775	0.5252369301020104	0.4947995252907449	0.5836909871244635	0.584463517362319	0.5839997540229822	Yes + children	Yes + children	Yes (Strict threshold)	Yes (Strict threshold)	Yes + children	
0.5933333333333334	0.08403361344537816	0.14721693821850965	0.10144993616633231	0.48319327731092443	0.5326290591174022	0.5018239228068799	0.5882352941176471	0.5907733156322602	0.5892478813559322	Yes + children	Yes + children	Yes (Strict threshold)	Yes	Yes + children	
0.5838095238095238	0.07725321888412018	0.13645048197911322	0.09347425349363622	0.47639484978540775	0.5246608245077665	0.494594877490674	0.5836909871244635	0.5837502494494606	0.5837146906104891	Yes + children	Yes + children	Yes (Strict threshold)		Yes + children	
0.5907142857142857	0.08085106382978724	0.14223449274706376	0.09772009253961542	0.48085106382978726	0.5301507608957723	0.49942816220953845	0.5872340425531916	0.5889690229521732	0.5879268066516928	Yes + children	Yes + children	Yes	Yes (Strict threshold) + children	Yes + children	
0.6140476190476191	0.08203125	0.14472812202708624	0.09922516466991269	0.484375	0.541557157178855	0.5057348967136626	0.58203125	0.5976109310557189	0.5881646164809948	Yes + children	Yes + children	Yes	Yes + children	Yes + children	
0.5895238095238096	0.0811965811965812	0.14273404694288697	0.09811724347358901	0.4786324786324786	0.5283220167196299	0.4973428371382987	0.5854700854700854	0.5874899548313797	0.5862763642196025	Yes + children	Yes + children	Yes	Yes (Strict threshold)	Yes + children	
0.5945238095238096	0.08403361344537816	0.14725351842733006	0.10145688346557537	0.48319327731092443	0.5331081996795652	0.5019939555490913	0.5882352941176471	0.5913628343734089	0.589482332055374	Yes + children	Yes + children	Yes	Yes	Yes + children	
0.5880952380952381	0.0811965811965812	0.14269208549971113	0.09810931045440102	0.4786324786324786	0.5277475724451057	0.4971390781793611	0.5854700854700854	0.5867797256758398	0.5859932394054	Yes + children	Yes + children	Yes		Yes + children	
0.5854761904761905	0.07692307692307693	0.1359803135454973	0.0930959808583457	0.47863247863247865	0.5266904186818588	0.4967633757860682	0.5854700854700855	0.5854731379572231	0.585471306461121	Yes + children	Yes + children		Yes (Strict threshold) + children	Yes + children	
0.611904761904762	0.08203125	0.1446684179488554	0.09921393590893715	0.484375	0.5407221392697164	0.5054433335025124	0.58203125	0.5965942728944006	0.5877703009688471	Yes + children	Yes + children		Yes + children	Yes + children	
0.5842857142857143	0.07725321888412018	0.13646347905873193	0.09347669304295712	0.47639484978540775	0.5248530321335052	0.4946631857882533	0.5836909871244635	0.5839881992892277	0.5838098356801599	Yes + children	Yes + children		Yes (Strict threshold)	Yes + children	
0.5923809523809523	0.08403361344537816	0.14718758134361912	0.1014443589107942	0.48319327731092443	0.5322449829976265	0.5016874879014271	0.5882352941176471	0.5903008446426876	0.5890597772558527	Yes + children	Yes + children		Yes	Yes + children	
0.5821428571428572	0.07725321888412018	0.13640484437109185	0.0934656846504753	0.47639484978540775	0.52398673597938	0.49435506787033595	0.5836909871244635	0.582915894239998	0.583380702751637	Yes + children	Yes + children			Yes + children	
0.645952380952381	0.0918918918918919	0.16089516051665342	0.11092004886917875	0.6432432432432433	0.6445949655836798	0.6437832513101116	0.7621621621621623	0.6992619538344126	0.7356913170911833	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes	Yes + children
0.675952380952381	0.10096153846153846	0.1756827638232417	0.1216591136897163	0.6394230769230769	0.6571805011173845	0.6464096323829505	0.7451923076923076	0.7088856168929498	0.7302323096080778	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes	Yes + children
0.6447619047619048	0.09239130434782608	0.16162282857503968	0.11149495661878392	0.6467391304347826	0.6457490040798659	0.6463427157577878	0.7663043478260869	0.7002985863002442	0.7384631808912584	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes	Yes + children
0.6514285714285715	0.10052910052910052	0.17417876241405653	0.12099341965612395	0.6507936507936507	0.6511109563279236	0.6509205358883658	0.7671957671957671	0.7045885637561007	0.7408635789134	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes	Yes + children
0.6438095238095238	0.09239130434782608	0.16159286809061124	0.11148925271544045	0.6467391304347826	0.6452710019491926	0.6461510780965355	0.7663043478260869	0.6997364499291571	0.7382130343594812	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes	Yes + children
0.6545238095238095	0.09895833333333333	0.17192334531474238	0.1191926909328572	0.640625	0.6474998276535606	0.6433573379120127	0.7552083333333334	0.7012705751542916	0.732667287201974	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes + children
0.6766666666666666	0.10047846889952153	0.17497485993391754	0.1211024498886414	0.6411483253588517	0.6584288428721846	0.6479505307086915	0.7464114832535885	0.7098299841976083	0.7313355626581927	Yes + children	Yes + children	Yes + children	Yes + children	Yes	Yes + children
0.6535714285714286	0.09895833333333333	0.1718904488827368	0.11918636538145119	0.640625	0.647033459813729	0.6431730901110959	0.7552083333333334	0.7007235660716172	0.7324283443006668	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes	Yes + children
0.6580952380952381	0.10204081632653061	0.1766856733744151	0.12279118035909757	0.6428571428571429	0.650386948337168	0.6458480455281852	0.7551020408163266	0.7032691963855918	0.7334783057732693	Yes + children	Yes + children	Yes + children	Yes	Yes	Yes + children
