Recall	Precision: exact match	F1: exact match	F0.5 exact match	Precision: exact or hpoNarrower	F1: exact or hpoNarrower	F0.5: exact or hpoNarrower	Precision: all	F1: all	F0.5: all	String/substring: HPO ↔ Phecode	String/substring: HPO ↔ ICD	SORTA: Phecode → HPO	SORTA: Phecode → ICD	PheMap: HPO ↔ Phecode	UMLS: HPO ↔ ICD	WikiMedMap: HPO → ICD
0.6661904761904762	0.09195402298850575	0.1616021600860569	0.1111084637805469	0.6475095785440613	0.6567172055958079	0.6511614712777396	0.6896551724137931	0.6777197805524943	0.6848309216580839	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes + children	Yes + children
0.6692857142857143	0.08602150537634409	0.1524491310846951	0.10417940649981657	0.6200716845878137	0.6437394638449794	0.629326837964674	0.6594982078853048	0.6643559148631178	0.6614327410894874	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes + children	Yes + children	Yes + children
0.6642857142857143	0.09266409266409266	0.1626407257623784	0.11192682633289205	0.6447876447876448	0.6543914719700001	0.64859514900441	0.6872586872586873	0.6755769583936989	0.6825378500511264	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes + children	Yes + children
0.6666666666666666	0.09266409266409266	0.16271186440677965	0.11194029850746268	0.6447876447876448	0.6555446516192345	0.6490478041197046	0.6872586872586873	0.6768060836501901	0.6830391404451267	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes	Yes + children	Yes + children
0.6633333333333333	0.09266409266409266	0.16261214483920938	0.11192141129712604	0.6447876447876448	0.6539290247045976	0.6484133549776794	0.6872586872586873	0.6750840948723569	0.6823365335716818	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children		Yes + children	Yes + children
0.6795238095238095	0.08540925266903915	0.151745619612439	0.10350905613571025	0.6334519572953736	0.6556795609632067	0.6421596684714129	0.6725978647686832	0.6760430988347974	0.6739717359839427	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes + children
0.6826190476190476	0.0802675585284281	0.1436443212290182	0.09746915629855185	0.6086956521739131	0.6435414178177182	0.6221711040289679	0.6454849498327759	0.6635328597047786	0.6525850023068583	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes + children	Yes + children	Yes + children
0.6780952380952381	0.08602150537634409	0.15267502948429293	0.1042215586392646	0.6308243727598567	0.6536062256159896	0.6397438410769131	0.6702508960573478	0.6741502488620197	0.6718052116067339	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes (Strict threshold)	Yes + children	Yes + children
0.6804761904761905	0.08602150537634409	0.15273519175400976	0.1042327694989679	0.6308243727598567	0.6547102595240605	0.6401664864556671	0.6702508960573478	0.6753248394282978	0.6722712964863767	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes	Yes + children	Yes + children
0.6773809523809524	0.08602150537634409	0.15265690762446132	0.10421818048610731	0.6308243727598567	0.6532742317941493	0.6396165775045859	0.6702508960573478	0.6737970623529672	0.6716648739275128	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children		Yes + children	Yes + children
0.6657142857142857	0.09230769230769231	0.1621339518701073	0.11151882578174857	0.6461538461538462	0.6557882392360529	0.6499734325185973	0.6884615384615385	0.6768968595309584	0.6837885693674788	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes (Strict threshold) + children	Yes + children	Yes + children
0.669047619047619	0.08633093525179857	0.1529286378375927	0.10454128326595402	0.6187050359712231	0.6428922970510382	0.6281582066584874	0.658273381294964	0.6636167714127166	0.6604003780834866	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes + children	Yes + children	Yes + children
0.6638095238095238	0.09302325581395349	0.163179304088262	0.11234325134586248	0.6434108527131783	0.6534510315537408	0.6473896714875942	0.686046511627907	0.6747448561021233	0.6814807204077981	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes (Strict threshold)	Yes + children	Yes + children
0.6661904761904762	0.09302325581395349	0.16325101740157827	0.11235684340716705	0.6434108527131783	0.65460254643136	0.6478412915204914	0.686046511627907	0.6759727124571073	0.6819811751019572	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes	Yes + children	Yes + children
